"nodeID_from"	"nodeID_to"	"line"	"year"
221	17	"ligne6"	1983
17	16	"ligne6"	1983
16	35	"ligne6"	1983
35	45	"ligne6"	1983
45	84	"ligne6"	1983
84	159	"ligne6"	1983
159	64	"ligne6"	1983
64	54	"ligne6"	1983
54	230	"ligne6"	1983
230	132	"ligne6"	1983
132	42	"ligne6"	1983
42	180	"ligne6"	1983
180	75	"ligne6"	1983
75	91	"ligne6"	1983
91	161	"ligne6"	1983
161	146	"ligne7"	1927
146	22	"ligne7"	1927
22	8	"ligne7"	1927
8	5	"ligne7"	1927
5	198	"ligne7"	1927
198	205	"ligne7"	1927
205	162	"ligne7"	1927
162	23	"ligne7"	1927
23	87	"ligne7"	1927
87	120	"ligne7"	1927
120	99	"ligne7"	1927
99	65	"ligne7"	1927
65	186	"ligne7"	1927
186	215	"ligne7"	1927
215	213	"ligne7"	1927
213	55	"ligne7"	1927
55	200	"ligne7"	1927
200	9	"ligne7"	1927
108	19	"ligne8"	1962
19	46	"ligne8"	1962
46	152	"ligne8"	1962
152	63	"ligne8"	1962
63	68	"ligne8"	1962
68	36	"ligne8"	1962
36	23	"ligne8"	1962
23	37	"ligne8"	1962
37	209	"ligne8"	1962
209	34	"ligne8"	1962
34	69	"ligne8"	1962
69	122	"ligne8"	1962
122	77	"ligne8"	1962
77	7	"ligne8"	1962
7	116	"ligne8"	1962
116	213	"ligne8"	1962
213	56	"ligne8"	1962
56	97	"ligne8"	1962
97	95	"ligne8"	1962
95	74	"ligne8"	1962
141	93	"ligne9"	1954
93	168	"ligne9"	1954
168	39	"ligne9"	1954
39	169	"ligne9"	1954
169	113	"ligne9"	1954
48	112	"ligne9"	1954
112	114	"ligne9"	1954
114	113	"ligne9"	1954
113	128	"ligne9"	1954
128	177	"ligne9"	1954
177	180	"ligne9"	1954
180	179	"ligne9"	1954
179	224	"ligne9"	1954
224	223	"ligne9"	1954
223	5	"ligne9"	1954
5	80	"ligne9"	1954
80	68	"ligne9"	1954
68	23	"ligne9"	1954
23	204	"ligne9"	1954
204	150	"ligne9"	1954
150	11	"ligne9"	1954
11	137	"ligne9"	1954
137	49	"ligne9"	1954
49	83	"ligne9"	1954
83	106	"ligne9"	1954
106	173	"ligne9"	1954
173	54	"ligne9"	1954
